free_agent_players, average_salary ,pts,3pts,ast,reb,stl,blk,to,playerscoreindex
James Ennis III,3300000.00,6.6,0.8,0.9,3.6,0.5,0.3,0.8,11.9
Kelan Martin,1573645.00,6.4,0.8,0.7,3.1,0.2,0.3,0.6,10.9
Oshae Brissett,1573645.00,1.9,0.2,0.4,1.4,0.2,0.1,0.4,3.8
Patrick Patterson,3077701.00,4.9,1.1,0.7,2.6,0.1,0.1,0.4,9.1
Nicolas Batum,2564753.00,3.6,0.6,3,4.5,0.8,0.4,1,11.9
Wayne Ellington,2564753.00,5.1,1.4,1.2,1.8,0.4,0.1,0.5,9.5
Jared Dudley,2564753.00,1.5,0.4,0.6,1.2,0.3,0.1,0.2,3.9
Jose Barea,2564753.00,7.7,1.1,3.9,1.8,0.2,0.1,1.3,13.5
Jeff Teague,2564753.00,10.9,0.7,5.2,2.4,0.7,0.3,2,18.2
Udonis Haslem,2564753.00,3,0.2,0.2,4,0,0,0.2,7.2
Jeff Green,2564753.00,9.4,1.3,1,2.8,0.5,0.4,0.9,14.5
Dwight Howard,2564753.00,7.5,0,0.7,7.3,0.4,1.1,1.2,15.8
Carmelo Anthony,2564753.00,15.4,1.5,1.5,6.3,0.8,0.5,1.7,24.3
Reggie Jackson,2331593.00,11.9,1.8,4.1,3,0.4,0.2,1.6,19.8
Markieff Morris,2331593.00,9.7,1.5,1.3,3.8,0.5,0.3,1.3,15.8
Hassan Whiteside,2320044.00,15.5,0.1,1.2,13.5,0.4,2.9,1.8,31.8
Kent Bazemore,2320044.00,8.8,1.2,1.4,4.3,1.1,0.6,1.3,16.1
Alex Len,2258000.00,8,0.3,0.9,5.8,0.4,0.9,1,15.3
Solomon Hill,2174318.00,5.5,1.1,1.8,2.8,0.7,0.2,0.9,11.2
Matthew Dellavedova,2174318.00,3.1,0.4,3.2,1.3,0.4,0,1,7.4
Glenn Robinson III,2028594.00,11.7,1.2,1.5,4.4,0.9,0.3,0.9,19.1
Langston Galloway,2028594.00,10.3,2,1.5,2.3,0.7,0.2,0.6,16.4
Noah Vonleh,2028594.00,3.7,0.1,0.8,3.4,0.3,0.2,0.6,7.9
Tyler Johnson,2028594.00,7,1,1.9,1.9,0.4,0.2,0.7,11.7
JaKarr Sampson,1882867.00,4.6,0.1,0.6,2.6,0.5,0.4,0.4,8.4
Raul Neto,1882867.00,5.1,0.6,1.8,1.1,0.4,0.1,0.9,8.2
